Date,Y
1/1/2013,-1664.274145
1/2/2013,-1797.404781
1/3/2013,-2108.942905
1/4/2013,-2611.186919
1/5/2013,-3025.791912
1/6/2013,-2766.806459
1/7/2013,-2867.266893
1/8/2013,-3411.73271
1/9/2013,-3704.738567
1/10/2013,-3790.300231
1/11/2013,-4503.620588
1/12/2013,-4315.393866
1/13/2013,-5273.372259
1/14/2013,-5382.993823
1/15/2013,-5747.11235
1/16/2013,-6112.5494
1/17/2013,-6638.500419
1/18/2013,-6563.082471
1/19/2013,-6382.737061
1/20/2013,-6961.297253
1/21/2013,-6970.864453
1/22/2013,-7262.193679
1/23/2013,-6999.687695
1/24/2013,-7267.859491
1/25/2013,-6980.638612
1/26/2013,-7279.232241
1/27/2013,-7171.874128
1/28/2013,-7617.845942
1/29/2013,-7089.129827
1/30/2013,-7779.377575
1/31/2013,-7411.671899
2/1/2013,-8516.557023
2/2/2013,-8558.817158
2/3/2013,-8915.355597
2/4/2013,-8828.106163
2/5/2013,-8621.672803
2/6/2013,-8390.780658
2/7/2013,-8545.124165
2/8/2013,-8154.560896
2/9/2013,-8189.857108
2/10/2013,-8266.088564
2/11/2013,-8347.124883
2/12/2013,-8514.263794
2/13/2013,-8151.586832
2/14/2013,-8305.673756
2/15/2013,-7907.708089
2/16/2013,-7817.955824
2/17/2013,-7146.494177
2/18/2013,-6911.611096
2/19/2013,-6455.39658
2/20/2013,-6029.852399
2/21/2013,-6082.834077
2/22/2013,-5903.251712
2/23/2013,-5473.168483
2/24/2013,-5449.17359
2/25/2013,-5426.592549
2/26/2013,-5776.587924
2/27/2013,-5297.301075
2/28/2013,-5650.826541
3/1/2013,-5275.976935
3/2/2013,-4926.658836
3/3/2013,-4835.701447
3/4/2013,-4661.140031
3/5/2013,-4122.197879
3/6/2013,-3942.490618
3/7/2013,-3808.97323
3/8/2013,-3468.521748
3/9/2013,-3626.327642
3/10/2013,-3252.354254
3/11/2013,-3382.464838
3/12/2013,-3248.642842
3/13/2013,-3328.30693
3/14/2013,-3460.13972
3/15/2013,-3613.441394
3/16/2013,-3614.81826
3/17/2013,-3837.396521
3/18/2013,-3756.387072
3/19/2013,-3664.46491
3/20/2013,-3676.911283
3/21/2013,-4159.400171
