Date,Y
1/1/2013,-259.864025
1/2/2013,695.803849
1/3/2013,25.506578
1/4/2013,-474.447067
1/5/2013,450.390057
1/6/2013,2579.599416
1/7/2013,897.836544
1/8/2013,-136.469431
1/9/2013,850.891719
1/10/2013,-38.133439
1/11/2013,-537.810306
1/12/2013,551.091226
1/13/2013,2659.837669
1/14/2013,806.978422
1/15/2013,-369.455084
1/16/2013,955.846805
1/17/2013,-235.176332
1/18/2013,-693.274298
1/19/2013,800.112992
1/20/2013,3055.147479
1/21/2013,762.260732
1/22/2013,-445.115799
1/23/2013,1047.169127
1/24/2013,-240.752305
1/25/2013,-959.47096
1/26/2013,723.874161
1/27/2013,3119.136648
1/28/2013,533.855305
1/29/2013,-538.8177
1/30/2013,1254.574015
1/31/2013,-389.599277
2/1/2013,-1283.030784
2/2/2013,848.432624
2/3/2013,2777.887702
2/4/2013,766.804377
2/5/2013,-183.155373
2/6/2013,1329.992102
2/7/2013,-542.467251
2/8/2013,-1435.723596
2/9/2013,934.161886
2/10/2013,3075.359114
2/11/2013,780.529928
2/12/2013,72.832296
2/13/2013,1269.25928
2/14/2013,-410.445542
2/15/2013,-1458.710669
2/16/2013,761.865153
2/17/2013,3181.244613
2/18/2013,1042.405734
2/19/2013,279.212413
2/20/2013,1438.999577
2/21/2013,-235.720309
2/22/2013,-1724.202663
2/23/2013,928.937976
2/24/2013,3169.722603
2/25/2013,1250.846874
2/26/2013,281.856875
2/27/2013,1533.45016
2/28/2013,6.906977
3/1/2013,-1505.582595
3/2/2013,551.977563
3/3/2013,2775.433259
3/4/2013,1461.065218
3/5/2013,227.337552
3/6/2013,1841.904059
3/7/2013,227.247136
3/8/2013,-1580.121776
3/9/2013,679.850902
3/10/2013,2302.582612
3/11/2013,1406.811368
3/12/2013,-229.267151
3/13/2013,1679.749641
3/14/2013,441.429467
3/15/2013,-1594.369139
3/16/2013,547.793436
3/17/2013,1814.114381
3/18/2013,1207.103448
3/19/2013,-341.260693
3/20/2013,1418.224638
3/21/2013,513.40835
3/22/2013,-1844.940929
3/23/2013,246.7094
3/24/2013,1617.676978
3/25/2013,1278.833246
3/26/2013,-261.939712
3/27/2013,1270.93797
3/28/2013,811.638467
3/29/2013,-1690.366304
3/30/2013,335.597322
3/31/2013,1391.494483
